Name or Synonym,RID
peripheral segment of femoral nerve,RID45385
peripheral segment of right femoral nerve,RID45386
peripheral segment of left femoral nerve,RID45387
peripheral segment of anococcygeal nerve,RID45388
peripheral segment of right anococcygeal nerve,RID45389
peripheral segment of left anococcygeal nerve,RID45390
peripheral segment of pudendal nerve,RID45391
peripheral segment of right pudendal nerve,RID45392
peripheral segment of left pudendal nerve,RID45393
peripheral segment of perforating cutaneous nerve,RID45394
peripheral segment of right perforating cutaneous nerve,RID45395
peripheral segment of left perforating cutaneous nerve,RID45396
peripheral segment of nerve to subcostal muscle,RID45397
peripheral segment of nerve to right subcostal muscle,RID45398
peripheral segment of nerve to left subcostal muscle,RID45399
peripheral segment of genitofemoral nerve,RID45400
peripheral segment of right genitofemoral nerve,RID45401
peripheral segment of left genitofemoral nerve,RID45402
peripheral segment of ilioinguinal nerve,RID45403
peripheral segment of right ilioinguinal nerve,RID45404
peripheral segment of left ilioinguinal nerve,RID45405
peripheral segment of iliohypogastric nerve,RID45406
peripheral segment of right iliohypogastric nerve,RID45407
peripheral segment of left iliohypogastric nerve,RID45408
peripheral segment of obturator nerve,RID45409
peripheral segment of right obturator nerve,RID45410
peripheral segment of left obturator nerve,RID45411
peripheral segment of dorsal scapular nerve,RID45412
peripheral segment of right dorsal scapular nerve,RID45413
peripheral segment of left dorsal scapular nerve,RID45414
peripheral segment of inferior gluteal nerve,RID45415
peripheral segment of right inferior gluteal nerve,RID45416
peripheral segment of left inferior gluteal nerve,RID45417
peripheral segment of nerve to gemellus inferior,RID45418
peripheral segment of nerve to right gemellus inferior,RID45419
peripheral segment of nerve to left gemellus inferior,RID45420
root of musculocutaneous nerve,RID45421
root of right musculocutaneous nerve,RID45422
root of left musculocutaneous nerve,RID45423
c5 root of musculocutaneous nerve,RID45424
c5 root of right musculocutaneous nerve,RID45425
c5 root of left musculocutaneous nerve,RID45426
c6 root of musculocutaneous nerve,RID45427
c6 root of right musculocutaneous nerve,RID45428
c6 root of left musculocutaneous nerve,RID45429
c7 root of musculocutaneous nerve,RID45430
c7 root of right musculocutaneous nerve,RID45431
c7 root of left musculocutaneous nerve,RID45432
root of axillary nerve,RID45433
root of right axillary nerve,RID45434
root of left axillary nerve,RID45435
c5 root of axillary nerve,RID45436
c5 root of right axillary nerve,RID45437
c5 root of left axillary nerve,RID45438
c6 root of axillary nerve,RID45439
c6 root of right axillary nerve,RID45440
c6 root of left axillary nerve,RID45441
root of median nerve,RID45442
lateral root of median nerve,RID45444
c5 root of median nerve,RID45445
c5 root of right median nerve,RID45446
c5 root of left median nerve,RID45447
c6 root of median nerve,RID45448
c6 root of right median nerve,RID45449
c6 root of left median nerve,RID45450
c7 root of median nerve,RID45451
c7 root of right median nerve,RID45452
c7 root of left median nerve,RID45453
c8 root of median nerve,RID45454
c8 root of right median nerve,RID45455
c8 root of left median nerve,RID45456
t1 root of median nerve,RID45457
t1 root of right median nerve,RID45458
t1 root of left median nerve,RID45459
root of radial nerve,RID45460
c5 root of radial nerve,RID45461
c5 root of right radial nerve,RID45462
c5 root of left radial nerve,RID45463
c6 root of radial nerve,RID45464
c6 root of right radial nerve,RID45465
c6 root of left radial nerve,RID45466
c7 root of radial nerve,RID45467
c7 root of right radial nerve,RID45468
c7 root of left radial nerve,RID45469
c8 root of radial nerve,RID45470
c8 root of right radial nerve,RID45471
c8 root of left radial nerve,RID45472
t1 root of radial nerve,RID45473
t1 root of right radial nerve,RID45474
t1 root of left radial nerve,RID45475
root of ulnar nerve,RID45476
c7 root of ulnar nerve,RID45477
c7 root of right ulnar nerve,RID45478
c7 root of left ulnar nerve,RID45479
c8 root of ulnar nerve,RID45480
c8 root of right ulnar nerve,RID45481
c8 root of left ulnar nerve,RID45482
t1 root of ulnar nerve,RID45483
t1 root of right ulnar nerve,RID45484
t1 root of left ulnar nerve,RID45485
root of lateral pectoral nerve,RID45486
c5 root of lateral pectoral nerve,RID45487
c5 root of right lateral pectoral nerve,RID45488
c5 root of left lateral pectoral nerve,RID45489
c6 root of lateral pectoral nerve,RID45490
c6 root of right lateral pectoral nerve,RID45491
c6 root of left lateral pectoral nerve,RID45492
c7 root of lateral pectoral nerve,RID45493
c7 root of right lateral pectoral nerve,RID45494
c7 root of left lateral pectoral nerve,RID45495
root of inferior subscapular nerve,RID45496
c5 root of inferior subscapular nerve,RID45497
c5 root of right inferior subscapular nerve,RID45498
c5 root of left inferior subscapular nerve,RID45499
c6 root of inferior subscapular nerve,RID45500
c6 root of right inferior subscapular nerve,RID45501
c6 root of left lower subscapular nerve,RID45502
root of thoracodorsal nerve,RID45503
c6 root of thoracodorsal nerve,RID45504
c6 root of right thoracodorsal nerve,RID45505
c6 root of left thoracodorsal nerve,RID45506
c7 root of thoracodorsal nerve,RID45507
c7 root of right thoracodorsal nerve,RID45508
c7 root of left thoracodorsal nerve,RID45509
c8 root of thoracodorsal nerve,RID45510
c8 root of right thoracodorsal nerve,RID45511
c8 root of left thoracodorsal nerve,RID45512
root of superior subscapular nerve,RID45513
c5 root of superior subscapular nerve,RID45514
c5 root of right superior subscapular nerve,RID45515
c5 root of left superior subscapular nerve,RID45516
c6 root of superior subscapular nerve,RID45517
c6 root of right superior subscapular nerve,RID45518
c6 root of left superior subscapular nerve,RID45519
root of medial cutaneous nerve to forearm,RID45520
c8 root of medial antebrachial cutaneous nerve,RID45521
c8 root of right medial antebrachial cutaneous nerve,RID45522
c8 root of left medial antebrachial cutaneous nerve,RID45523
t1 root of medial antebrachial cutaneous nerve,RID45524
t1 root of medial cutaneous nerve to right forearm,RID45525
t1 root of medial cutaneous nerve to left forearm,RID45526
t1 root of medial brachial cutaneous nerve,RID45527
t1 root of right medial brachial cutaneous nerve,RID45528
t1 root of left medial brachial cutaneous nerve,RID45529
root of medial pectoral nerve,RID45530
c8 root of medial pectoral nerve,RID45531
c8 root of right medial pectoral nerve,RID45532
c8 root of left medial pectoral nerve,RID45533
t1 root of medial pectoral nerve,RID45534
t1 root of right medial pectoral nerve,RID45535
t1 root of left medial pectoral nerve,RID45536
root of suprascapular nerve,RID45537
c5 root of suprascapular nerve,RID45538
c5 root of right suprascapular nerve,RID45539
c5 root of left suprascapular nerve,RID45540
c6 root of suprascapular nerve,RID45541
c6 root of right suprascapular nerve,RID45542
c6 root of left suprascapular nerve,RID45543
root of subclavian nerve,RID45544
c5 root of subclavian nerve,RID45545
c5 root of right subclavian nerve,RID45546
c5 root of left subclavian nerve,RID45547
c6 root of subclavian nerve,RID45548
c6 root of nerve to right subclavius,RID45549
c6 root of left subclavian nerve,RID45550
root of long thoracic nerve,RID45551
c5 root of dorsal scapular nerve,RID45552
c5 root of right dorsal scapular nerve,RID45553
c5 root of left dorsal scapular nerve,RID45554
root of lateral femoral cutaneous nerve,RID45555
l2 root of lateral femoral cutaneous nerve,RID45556
l2 root of right lateral femoral cutaneous nerve,RID45557
l2 root of left lateral femoral cutaneous nerve,RID45558
l3 root of lateral femoral cutaneous nerve,RID45559
l3 root of right lateral femoral cutaneous nerve,RID45560
l3 root of left lateral femoral cutaneous nerve,RID45561
root of femoral nerve,RID45562
l2 root of femoral nerve,RID45563
l2 root of right femoral nerve,RID45564
l2 root of left femoral nerve,RID45565
l3 root of femoral nerve,RID45566
l3 root of right femoral nerve,RID45567
l3 root of left femoral nerve,RID45568
l4 root of femoral nerve,RID45569
l4 root of right femoral nerve,RID45570
l4 root of left femoral nerve,RID45571
root of anococcygeal nerve,RID45572
root of pudendal nerve,RID45573
root of perforating cutaneous nerve,RID45574
root of subcostal nerve,RID45575
root of genitofemoral nerve,RID45576
root of ilioinguinal nerve,RID45577
root of iliohypogastric nerve,RID45578
t12 root of iliohypogastric nerve,RID45579
t12 root of right iliohypogastric nerve,RID45580
t12 root of left iliohypogastric nerve,RID45581
l1 root of iliohypogastric nerve,RID45582
l1 root of right iliohypogastric nerve,RID45583
l1 root of left iliohypogastric nerve,RID45584
root of obturator nerve,RID45585
root of inferior gluteal nerve,RID45586
l5 root of inferior gluteal nerve,RID45587
l5 root of right inferior gluteal nerve,RID45588
l5 root of left inferior gluteal nerve,RID45589
s1 root of inferior gluteal nerve,RID45590
s1 root of right inferior gluteal nerve,RID45591
s1 root of left inferior gluteal nerve,RID45592
s2 root of inferior gluteal nerve,RID45593
s2 root of right inferior gluteal nerve,RID45594
s2 root of left inferior gluteal nerve,RID45595
root of nerve to gemellus inferior,RID45596
l4 root of nerve to gemellus inferior,RID45597
l4 root of nerve to right gemellus inferior,RID45598
l4 root of nerve to left gemellus inferior,RID45599
l5 root of nerve to gemellus inferior,RID45600
l5 root of nerve to right gemellus inferior,RID45601
l5 root of nerve to left gemellus inferior,RID45602
s1 root of nerve to gemellus inferior,RID45603
s1 root of nerve to right gemellus inferior,RID45604
s1 root of nerve to left gemellus inferior,RID45605
nerve trunk segment,RID45606
segment of trunk of suprascapular nerve,RID45607
prescapular segment of trunk of suprascapular nerve,RID45608
prescapular segment of trunk of right suprascapular nerve,RID45609
prescapular segment of trunk of left suprascapular nerve,RID45610
superior notch segment of trunk of suprascapular nerve,RID45611
superior notch segment of trunk of right suprascapular nerve,RID45612
superior notch segment of trunk of left suprascapular nerve,RID45613
spinoglenoid segment of trunk of suprascapular nerve,RID45614
spinoglenoid segment of trunk of right suprascapular nerve,RID45615
spinoglenoid segment of trunk of left suprascapular nerve,RID45616
postscapular segment of trunk of suprascapular nerve,RID45617
postscapular segment of trunk of right suprascapular nerve,RID45618
postscapular segment of trunk of left suprascapular nerve,RID45619
segment of trunk of axillary nerve,RID45620
trunk proper of axillary nerve,RID45621
trunk proper of right axillary nerve,RID45622
trunk proper of left axillary nerve,RID45623
quadrilateral segment of trunk of axillary nerve,RID45624
quadrilateral segment of trunk of right axillary nerve,RID45625
quadrilateral segment of trunk of left axillary nerve,RID45626
trunk of branch of spinal nerve,RID46084
trunk of branch of cervical nerve,RID46085
trunk of branch of first cervical nerve,RID46086
trunk of branch of second cervical nerve,RID46087
trunk of branch of third cervical nerve,RID46088
trunk of branch of fourth cervical nerve,RID46089
trunk of branch of fifth cervical nerve,RID46090
trunk of anterior ramus of fifth cervical nerve,RID46091
trunk of anterior ramus of right fifth cervical nerve,RID46092
trunk of anterior ramus of left fifth cervical nerve,RID46093
trunk of anterior division of anterior ramus of fifth cervical nerve,RID46094
trunk of anterior division of anterior ramus of right fifth cervical nerve,RID46095
trunk of anterior division of anterior ramus of left fifth cervical nerve,RID46096
trunk of posterior division of anterior ramus of fifth cervical nerve,RID46097
trunk of posterior division of anterior ramus of right fifth cervical nerve,RID46098
trunk of posterior division of anterior ramus of left fifth cervical nerve,RID46099
trunk of posterior ramus of fifth cervical nerve,RID46100
trunk of posterior ramus of right fifth cervical nerve,RID46101
trunk of posterior ramus of left fifth cervical nerve,RID46102
trunk of branch of sixth cervical nerve,RID46103
trunk of anterior ramus of sixth cervical nerve,RID46104
trunk of anterior ramus of right sixth cervical nerve,RID46105
trunk of anterior ramus of left sixth cervical nerve,RID46106
trunk of anterior division of anterior ramus of sixth cervical nerve,RID46107
trunk of anterior division of anterior ramus of right sixth cervical nerve,RID46108
trunk of anterior division of anterior ramus of left sixth cervical nerve,RID46109
trunk of posterior division of anterior ramus of sixth cervical nerve,RID46110
trunk of posterior division of anterior ramus of right sixth cervical nerve,RID46111
trunk of posterior division of anterior ramus of left sixth cervical nerve,RID46112
trunk of posterior ramus of sixth cervical nerve,RID46113
trunk of posterior ramus of right sixth cervical nerve,RID46114
trunk of posterior ramus of left sixth cervical nerve,RID46115
trunk of branch of seventh cervical nerve,RID46116
trunk of anterior ramus of seventh cervical nerve,RID46117
trunk of anterior ramus of right seventh cervical nerve,RID46118
trunk of anterior ramus of left seventh cervical nerve,RID46119
trunk of anterior division of anterior ramus of seventh cervical nerve,RID46120
trunk of anterior division of anterior ramus of right seventh cervical nerve,RID46121
trunk of anterior division of anterior ramus of left seventh cervical nerve,RID46122
trunk of posterior division of anterior ramus of seventh cervical nerve,RID46123
trunk of posterior division of anterior ramus of right seventh cervical nerve,RID46124
trunk of posterior division of anterior ramus of left seventh cervical nerve,RID46125
trunk of posterior ramus of seventh cervical nerve,RID46126
trunk of posterior ramus of right seventh cervical nerve,RID46127
trunk of posterior ramus of left seventh cervical nerve,RID46128
trunk of branch of eighth cervical nerve,RID46129
trunk of anterior ramus of eighth cervical nerve,RID46130
trunk of anterior ramus of right eighth cervical nerve,RID46131
trunk of anterior ramus of left eighth cervical nerve,RID46132
trunk of anterior division of anterior ramus of eighth cervical nerve,RID46133
trunk of anterior division of anterior ramus of right eighth cervical nerve,RID46134
trunk of anterior division of anterior ramus of left eighth cervical nerve,RID46135
trunk of posterior division of anterior ramus of eighth cervical nerve,RID46136
trunk of posterior division of anterior ramus of right eighth cervical nerve,RID46137
trunk of posterior division of anterior ramus of left eighth cervical nerve,RID46138
trunk of posterior ramus of eighth cervical nerve,RID46139
trunk of posterior ramus of right eighth cervical nerve,RID46140
trunk of posterior ramus of left eighth cervical nerve,RID46141
trunk of branch of thoracic nerve,RID46142
trunk of branch of first thoracic nerve,RID46143
trunk of anterior ramus of first thoracic nerve,RID46144
trunk of anterior ramus of right first thoracic nerve,RID46145
trunk of anterior ramus of left first thoracic nerve,RID46146
trunk of anterior division of anterior ramus of first thoracic nerve,RID46147
trunk of anterior division of anterior ramus of left first thoracic nerve,RID46148
trunk of anterior division of anterior ramus of right first thoracic nerve,RID46149
trunk of posterior division of brachial plexus branch of first thoracic nerve,RID46150
trunk of posterior division of brachial plexus branch of right first thoracic nerve,RID46151
trunk of posterior division of brachial plexus branch of left first thoracic nerve,RID46152
trunk proper of anterior ramus of first thoracic nerve,RID46153
trunk proper of anterior ramus of right first thoracic nerve,RID46154
trunk proper of anterior ramus of left first thoracic nerve,RID46155
trunk of posterior ramus of first thoracic nerve,RID46156
trunk of posterior ramus of right first thoracic nerve,RID46157
trunk of posterior ramus of left first thoracic nerve,RID46158
trunk of branch of lumbar nerve,RID46159
trunk of branch of sacral nerve,RID46160
trunk of branch of coccygeal nerve,RID46161
articular branch of right radial nerve to right distal radio-ulnar joint ,RID46163
articular branch of left radial nerve to left distal radio-ulnar joint ,RID46164
articular branch of radial nerve to intercarpal joint ,RID46165
branch of suprascapular nerve to acromioclavicular joint joint,RID46166
branch of suprascapular nerve to right acromioclavicular joint joint,RID46167
branch of suprascapular nerve to left acromioclavicular joint joint,RID46168
branch of long thoracic nerve to serratus anterior (1),RID46169
branch of right long thoracic nerve to right serratus anterior (1),RID46170
branch of left long thoracic nerve to left serratus anterior (1),RID46171
branch of long thoracic nerve to serratus anterior (2),RID46172
branch of right long thoracic nerve to right serratus anterior (2),RID46173
branch of left long thoracic nerve to left serratus anterior (2),RID46174
peripheral segment of cranial nerve,RID46196
peripheral segment of oculomotor nerve,RID46197
peripheral segment of right oculomotor nerve,RID46198
peripheral segment of left oculomotor nerve,RID46199
peripheral segment of trochlear nerve,RID46200
peripheral segment of right trochlear nerve,RID46201
peripheral segment of left trochlear nerve,RID46202
peripheral segment of trigeminal nerve,RID46203
peripheral segment of right trigeminal nerve,RID46204
peripheral segment of left trigeminal nerve,RID46205
peripheral segment of abducens nerve,RID46206
peripheral segment of right abducens nerve,RID46207
peripheral segment of left abducens nerve,RID46208
peripheral segment of facial nerve,RID46209
peripheral segment of right facial nerve,RID46210
peripheral segment of left facial nerve,RID46211
peripheral segment of vestibulocochlear nerve,RID46212
peripheral segment of right vestibulocochlear nerve,RID46213
peripheral segment of left vestibulocochlear nerve,RID46214
peripheral segment of glossopharyngeal nerve,RID46215
peripheral segment of right glossopharyngeal nerve,RID46216
peripheral segment of left glossopharyngeal nerve,RID46217
peripheral segment of vagus nerve,RID46218
peripheral segment of right vagus nerve,RID46219
peripheral segment of left vagus nerve,RID46220
peripheral segment of hypoglossal nerve,RID46221
peripheral segment of right hypoglossal nerve,RID46222
peripheral segment of left hypoglossal nerve,RID46223
peripheral segment of spinal accessory nerve,RID46224
peripheral segment of right spinal accessory nerve,RID46225
peripheral segment of left spinal accessory nerve,RID46226
peripheral segment of left superior subscapular nerve,RID46227
scalenus posterior branch of right fifth cervical nerve,RID46228
scalenus posterior branch of left fifth cervical nerve,RID46229
lateral pectoral branch of fifth cervical nerve,RID46230
lateral pectoral branch of right fifth cervical nerve,RID46231
lateral pectoral branch of left fifth cervical nerve,RID46232
anterior division of anterior ramus of fifth cervical nerve,RID46233
anterior division of anterior ramus of right fifth cervical nerve,RID46234
anterior division of anterior ramus of left fifth cervical nerve,RID46235
posterior division of anterior ramus of fifth cervical nerve,RID46236
posterior division of anterior ramus of right fifth cervical nerve,RID46237
posterior division of anterior ramus of left fifth cervical nerve,RID46238
branch of anterior division of anterior ramus of fifth cervical nerve,RID46239
median nerve branch of anterior division of anterior ramus of fifth cervical nerve,RID46240
median nerve branch of anterior division of anterior ramus of right fifth cervical nerve,RID46241
median nerve branch of anterior division of anterior ramus of left fifth cervical nerve,RID46242
musculocutaneous nerve branch of anterior division of anterior ramus of fifth cervical nerve,RID46243
musculocutaneous nerve branch of anterior division of anterior ramus of right fifth cervical nerve,RID46244
musculocutaneous nerve branch of anterior division of anterior ramus of left fifth cervical nerve,RID46245
lateral pectoral nerve branch of anterior division of anterior ramus of fifth cervical nerve,RID46246
lateral pectoral nerve branch of anterior division of anterior ramus of right fifth cervical nerve,RID46247
lateral pectoral nerve branch of anterior division of anterior ramus of left fifth cervical nerve,RID46248
branch of posterior division of anterior ramus of fifth cervical nerve,RID46249
upper subscapular nerve branch of posterior division of anterior ramus of fifth cervical nerve,RID46250
upper subscapular nerve branch of posterior division of anterior ramus of right fifth cervical nerve,RID46251
upper subscapular nerve branch of posterior division of anterior ramus of left fifth cervical nerve,RID46252
lower subscapular nerve branch of posterior division of anterior ramus of fifth cervical nerve,RID46253
lower subscapular nerve branch of posterior division of anterior ramus of right fifth cervical nerve,RID46254
lower subscapular nerve branch of posterior division of anterior ramus of left fifth cervical nerve,RID46255
axillary nerve branch of posterior division of anterior ramus of fifth cervical nerve,RID46256
axillary nerve branch of posterior division of anterior ramus of right fifth cervical nerve,RID46257
axillary nerve branch of posterior division of anterior ramus of left fifth cervical nerve,RID46258
radial nerve branch of posterior division of anterior ramus of fifth cervical nerve,RID46259
radial nerve branch of posterior division of anterior ramus of right fifth cervical nerve,RID46260
radial nerve branch of posterior division of anterior ramus of left fifth cervical nerve,RID46261
anterior division of anterior ramus of sixth cervical nerve,RID46262
anterior division of anterior ramus of right sixth cervical nerve,RID46263
anterior division of anterior ramus of left sixth cervical nerve,RID46264
posterior division of anterior ramus of sixth cervical nerve,RID46265
posterior division of anterior ramus of right sixth cervical nerve,RID46266
posterior division of anterior ramus of left sixth cervical nerve,RID46267
branch of anterior division of anterior ramus of sixth cervical nerve,RID46268
lateral pectoral nerve branch of anterior division of anterior ramus of sixth cervical nerve,RID46269
lateral pectoral nerve branch of anterior division of anterior ramus of right sixth cervical nerve,RID46270
lateral pectoral nerve branch of anterior division of anterior ramus of left sixth cervical nerve,RID46271
musculocutaneous nerve branch of anterior division of anterior ramus of sixth cervical nerve,RID46272
musculocutaneous nerve branch of anterior division of anterior ramus of right sixth cervical nerve,RID46273
musculocutaneous nerve branch of anterior division of anterior ramus of left sixth cervical nerve,RID46274
median nerve branch of anterior division of anterior ramus of sixth cervical nerve,RID46275
median nerve branch of anterior division of anterior ramus of right sixth cervical nerve,RID46276
median nerve branch of anterior division of anterior ramus of left sixth cervical nerve,RID46277
branch of posterior division of anterior ramus of sixth cervical nerve,RID46278
upper subscapular nerve branch of posterior division of anterior ramus of sixth cervical nerve,RID46279
upper subscapular nerve branch of posterior division of anterior ramus of right sixth cervical nerve,RID46280
upper subscapular nerve branch of posterior division of anterior ramus of left sixth cervical nerve,RID46281
lower subscapular nerve branch of posterior division of anterior ramus of sixth cervical nerve,RID46282
lower subscapular nerve branch of posterior division of anterior ramus of right sixth cervical nerve,RID46283
lower subscapular nerve branch of posterior division of anterior ramus of left sixth cervical nerve,RID46284
axillary nerve branch of posterior division of anterior ramus of sixth cervical nerve,RID46285
axillary nerve branch of posterior division of anterior ramus of right sixth cervical nerve,RID46286
axillary nerve branch of posterior division of anterior ramus of left sixth cervical nerve,RID46287
radial nerve branch of posterior division of anterior ramus of sixth cervical nerve,RID46288
radial nerve branch of posterior division of anterior ramus of right sixth cervical nerve,RID46289
radial nerve branch of posterior division of anterior ramus of left sixth cervical nerve,RID46290
anterior division of anterior ramus of seventh cervical nerve,RID46291
anterior division of anterior ramus of right seventh cervical nerve,RID46292
anterior division of anterior ramus of left seventh cervical nerve,RID46293
posterior division of anterior ramus of seventh cervical nerve,RID46294
posterior division of anterior ramus of right seventh cervical nerve,RID46295
posterior division of anterior ramus of left seventh cervical nerve,RID46296
anterior division of anterior ramus of eighth cervical nerve,RID46297
anterior division of anterior ramus of right eighth cervical nerve,RID46298
anterior division of anterior ramus of left eighth cervical nerve,RID46299
posterior division of anterior ramus of eighth cervical nerve,RID46300
posterior division of anterior ramus of right eighth cervical nerve,RID46301
posterior division of anterior ramus of left eighth cervical nerve,RID46302
anterior division of first intercostal nerve,RID46305
anterior division of right first intercostal nerve,RID46306
anterior division of left first intercostal nerve,RID46307
posterior division of first intercostal nerve,RID46308
posterior division of right first intercostal nerve,RID46309
posterior division of left first intercostal nerve,RID46310
segment of peripheral nerve nucleus,RID46311
segment of lateral pectoral nerve nucleus of spinal cord,RID46312
segment of lateral pectoral nerve nucleus of ventral column,RID46313
c5 ventral column nucleus of lateral pectoral nerve,RID46314
c5 ventral column nucleus of right lateral pectoral nerve,RID46315
c5 ventral column nucleus of left lateral pectoral nerve,RID46316
c6 ventral column nucleus of lateral pectoral nerve,RID46317
c6 ventral column nucleus of right lateral pectoral nerve,RID46318
c6 ventral column nucleus of left lateral pectoral nerve,RID46319
c7 ventral column nucleus of lateral pectoral nerve,RID46320
c7 ventral column nucleus of right lateral pectoral nerve,RID46321
c7 ventral column nucleus of left lateral pectoral nerve,RID46322
segment of lateral pectoral nerve nucleus of dorsal column,RID46323
c5 dorsal column nucleus of lateral pectoral nerve,RID46324
c5 dorsal column nucleus of right lateral pectoral nerve,RID46325
c5 dorsal column nucleus of left lateral pectoral nerve,RID46326
c6 dorsal column nucleus of lateral pectoral nerve,RID46327
c6 dorsal column nucleus of right lateral pectoral nerve,RID46328
c6 dorsal column nucleus of left lateral pectoral nerve,RID46329
c7 dorsal column nucleus of lateral pectoral nerve,RID46330
c7 dorsal column nucleus of right lateral pectoral nerve,RID46331
c7 dorsal column nucleus of left lateral pectoral nerve,RID46332
segment of musculocutaneous nerve nucleus of spinal cord,RID46333
segment of musculocutaneous nerve nucleus of dorsal column,RID46334
c5 dorsal column nucleus of musculocutaneous nerve,RID46335
c5 dorsal column nucleus of right musculocateneous nerve,RID46336
c5 dorsal column nucleus of left musculocateneous nerve,RID46337
c6 dorsal column nucleus of musculocutaneous nerve,RID46338
c6 dorsal column nucleus of right musculocateneous nerve,RID46339
c6 dorsal column nucleus of left musculocateneous nerve,RID46340
c7 dorsal column nucleus of musculocutaneous nerve,RID46341
c7 dorsal column nucleus of right musculocateneous nerve,RID46342
c7 dorsal column nucleus of left musculocateneous nerve,RID46343
segment of musculocutaneous nerve nucleus of ventral column,RID46344
c5 ventral column nucleus of musculocutaneous nerve,RID46345
c5 ventral column nucleus of right musculocutaneous nerve,RID46346
c5 ventral column nucleus of left musculocutaneous nerve,RID46347
c6 ventral column nucleus of musculocutaneous nerve,RID46348
c6 ventral column nucleus of right musculocutaneous nerve,RID46349
c6 ventral column nucleus of left musculocutaneous nerve,RID46350
c7 ventral column nucleus of musculocutaneous nerve,RID46351
c7 ventral column nucleus of right musculocutaneous nerve,RID46352
c7 ventral column nucleus of left musculocutaneous nerve,RID46353
segment of axillary nerve nucleus of spinal cord,RID46354
segment of axillary nerve nucleus of dorsal column,RID46355
c5 dorsal column nucleus of axillary nerve,RID46356
c5 dorsal column nucleus of right axillary nerve,RID46357
c5 dorsal column nucleus of left axillary nerve,RID46358
c6 dorsal column nucleus of axillary nerve,RID46359
c6 dorsal column nucleus of right axillary nerve,RID46360
c6 dorsal column nucleus of left axillary nerve,RID46361
segment of axillary nerve nucleus of ventral column,RID46362
c5 ventral column nucleus of axillary nerve,RID46363
c5 ventral column nucleus of right axillary nerve,RID46364
c5 ventral column nucleus of left axillary nerve,RID46365
c6 ventral column nucleus of axillary nerve,RID46366
c6 ventral column nucleus of right axillary nerve,RID46367
c6 ventral column nucleus of left axillary nerve,RID46368
segment of radial nerve nucleus of spinal cord,RID46369
segment of radial nerve nucleus of dorsal column,RID46370
c5 dorsal column nucleus of radial nerve,RID46371
c5 dorsal column nucleus of right radial nerve,RID46372
c5 dorsal column nucleus of left radial nerve,RID46373
c6 dorsal column nucleus of radial nerve,RID46374
c6 dorsal column nucleus of right radial nerve,RID46375
c6 dorsal column nucleus of left radial nerve,RID46376
c7 dorsal column nucleus of radial nerve,RID46377
c7 dorsal column nucleus of right radial nerve,RID46378
c7 dorsal column nucleus of left radial nerve,RID46379
c8 dorsal column nucleus of radial nerve,RID46380
c8 dorsal column nucleus of right radial nerve,RID46381
c8 dorsal column nucleus of left radial nerve,RID46382
t1 dorsal column nucleus of radial nerve,RID46383
t1 dorsal column nucleus of right radial nerve,RID46384
t1 dorsal column nucleus of left radial nerve,RID46385
segment of radial nerve nucleus of ventral column,RID46386
c5 ventral column nucleus of radial nerve,RID46387
c5 ventral column nucleus of right radial nerve,RID46388
c5 ventral column nucleus of left radial nerve,RID46389
c6 ventral column nucleus of radial nerve,RID46390
c6 ventral column nucleus of right radial nerve,RID46391
c6 ventral column nucleus of left radial nerve,RID46392
c7 ventral column nucleus of radial nerve,RID46393
c7 ventral column nucleus of right radial nerve,RID46394
c7 ventral column nucleus of left radial nerve,RID46395
c8 ventral column nucleus of radial nerve,RID46396
c8 ventral column nucleus of right radial nerve,RID46397
c8 ventral column nucleus of left radial nerve,RID46398
t1 ventral column nucleus of radial nerve,RID46399
t1 ventral column nucleus of right radial nerve,RID46400
t1 ventral column nucleus of left radial nerve,RID46401
segment of median nerve nucleus of spinal cord,RID46402
segment of median nerve nucleus of dorsal column,RID46403
c5 dorsal column nucleus of median nerve,RID46404
c5 dorsal column nucleus of right median nerve,RID46405
c5 dorsal column nucleus of left median nerve,RID46406
c6 dorsal column nucleus of median nerve,RID46407
c6 dorsal column nucleus of right median nerve,RID46408
c6 dorsal column nucleus of left median nerve,RID46409
c7 dorsal column nucleus of median nerve,RID46410
c7 dorsal column nucleus of right median nerve,RID46411
c7 dorsal column nucleus of left median nerve,RID46412
c8 dorsal column nucleus of median nerve,RID46413
c8 dorsal column nucleus of right median nerve,RID46414
c8 dorsal column nucleus of left median nerve,RID46415
t1 dorsal column nucleus of median nerve,RID46416
t1 dorsal column nucleus of right median nerve,RID46417
t1 dorsal column nucleus of left median nerve,RID46418
segment of median nerve nucleus of ventral column,RID46419
c5 ventral column nucleus of median nerve,RID46420
c5 ventral column nucleus of right median nerve,RID46421
c5 ventral column nucleus of left median nerve,RID46422
c6 ventral column nucleus of median nerve,RID46423
c6 ventral column nucleus of right median nerve,RID46424
c6 ventral column nucleus of left median nerve,RID46425
c7 ventral column nucleus of median nerve,RID46426
c7 ventral column nucleus of right median nerve,RID46427
c7 ventral column nucleus of left median nerve,RID46428
c8 ventral column nucleus of median nerve,RID46429
c8 ventral column nucleus of right median nerve,RID46430
c8 ventral column nucleus of left median nerve,RID46431
t1 ventral column nucleus of median nerve,RID46432
t1 ventral column nucleus of right median nerve,RID46433
t1 ventral column nucleus of left median nerve,RID46434
segment of ulnar nerve nucleus of spinal cord,RID46435
segment of ulnar nerve nucleus of dorsal column,RID46436
c7 dorsal column nucleus of ulnar nerve,RID46437
