Name or Synonym,RID
satisfactory outflow vessel,RID11574
absence of thrombus,RID11575
satisfactory hemodynamic flow,RID11576
response to non-vascular treatment,RID11577
satisfactory drainage from catheter,RID11578
alleviation of obstruction or dilation of obstructed system on contrast injection,RID11579
diagnostic tissue obtained on biopsy,RID11580
passage of drainage catheter beyond obstruction,RID11581
contrast agent,RID11582
iodinated contrast agent,RID11583
ionic iodinated contrast agent,RID11585
monomeric iodinated contrast agent,RID11586
barium contrast agent,RID11587
barium sulfate suspension,RID11588
gas contrast,RID11589
air contrast,RID11590
carbon dioxide contrast,RID11591
Helium contrast,RID11593
Xenon contrast,RID11594
water contrast,RID11595
oil contrast,RID11596
mineral oil contrast,RID11597
oil emulsion contrast,RID11598
microbubbles contrast,RID11599
nonencapsulated microbubbles,RID11600
encapsulated microbubbles,RID11601
encapsulated air microbubbles,RID11602
encapsulated perfluorocarbon microbubbles,RID11603
targeted microbubbles,RID11604
drug delivery microbubbles,RID11605
non-transpulmonary microbubbles,RID11607
transpulmonary blood pool microbubbles,RID11608
transpulmonary microbubbles with organ specific phase,RID11609
paramagnetic agent,RID11610
ferric chloride,RID11611
ferric ammonium citrate,RID11612
gadolinium chelate,RID11613
ionic gadolinium chelate,RID11614
ionic macrocyclic gadolinium chelate,RID11615
gadoterate meglumine,RID11616
ionic linear gadolinium chelate,RID11618
gadopentetate dimeglumine,RID11619
ionic linear gadolinium chelate with protein binding,RID11621
gadobenate dimeglumine,RID11622
gadoxetic acid disodium salt,RID11624
gadofosveset trisodium,RID11626
nonionic gadolinium chelate,RID11627
nonionic linear gadolinium chelate,RID11628
gadodiamide,RID11629
gadoversetamide,RID11631
nonionic macrocyclic gadolinium chelate,RID11633
gadoteridol,RID11634
gadobutrol,RID11636
superparamagnetic contrast agent,RID11638
magnetite albumin microspheres,RID11639
oral magnetic particles,RID11640
superparamagnetic iron oxide,RID11641
ferumoxides,RID11643
ferrixan,RID11644
ultrasmall superparamagnetic iron oxide,RID11645
ferumoxtran-10,RID11647
combination of oil emulsion and paramagnetic substance,RID11648
emulsion containing corn oil and ferric ammonium citrate,RID11649
emulsion containing baby formula with ferrous sulfate,RID11650
clay suspension,RID11651
attapulgite,RID11652
kaolin-pectate,RID11653
bentonite,RID11654
sucrose polyester,RID11655
perfluorochemical,RID11656
perfluoroctylbromide,RID11657
blood pool contrast agent,RID11661
Gadolinium-labeled albumin,RID11662
